none,none,none,TimeStamp,EventID,TTLValue,none,none,none,Extra0,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Eventstring
2048, 4098, 2, 4850942696, 119, -32768, -21663, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8000
2048, 4098, 2, 4850945757, 119, -32752, -22382, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8010
2048, 4098, 2, 4852062400, 119, -32704, -14493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8040
2048, 4098, 2, 4852799096, 119, -32766, -7961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8002
2048, 4098, 2, 4852802158, 119, -32750, -8172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8012
2048, 4098, 2, 4853842497, 119, -32702, 14825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8042
2048, 4098, 2, 4854581634, 119, -32764, 23183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8004
2048, 4098, 2, 4854584694, 119, -32748, 23217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8014
2048, 4098, 2, 4855597089, 119, -32700, 32021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8044
2048, 4098, 2, 4856323043, 119, -32768, -24948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8000
2048, 4098, 2, 4856326101, 119, -32752, -24897, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8010
2048, 4098, 2, 4858201300, 119, -32704, -10321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8040
2048, 4098, 2, 4858946967, 119, -32763, -4086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8005
2048, 4098, 2, 4858950027, 119, -32747, -4037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8015
2048, 4098, 2, 4860520928, 119, -32699, 13006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8045
2048, 4098, 2, 4861232963, 119, -32761, 22908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8007
2048, 4098, 2, 4861236023, 119, -32745, 24205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8017
2048, 4098, 2, 4863235124, 119, -32697, -30519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8047
2048, 4098, 2, 4863970292, 119, -32766, -19387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8002
2048, 4098, 2, 4863973352, 119, -32750, -19338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8012
2048, 4098, 2, 4865172078, 119, -32702, -14565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8042
2048, 4098, 2, 4865903029, 119, -32763, -7998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8005
2048, 4098, 2, 4865906088, 119, -32747, -7952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8015
2048, 4098, 2, 4867770427, 119, -32699, 22940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8045
2048, 4098, 2, 4868502678, 119, -32767, 17778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8001
2048, 4098, 2, 4868505738, 119, -32751, 31361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8011
2048, 4098, 2, 4870140001, 119, -32703, -31479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8041
2048, 4098, 2, 4870879624, 119, -32762, -22998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8006
2048, 4098, 2, 4870882684, 119, -32746, -22948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8016
2048, 4098, 2, 4872459198, 119, -32698, -8007, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8046
2048, 4098, 2, 4873192553, 119, -32764, 3457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8004
2048, 4098, 2, 4873195612, 119, -32748, 3504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8014
